序号,中文全称,英文全称,金融许可证机构编码,机构类型,简称
138,云南红塔银行股份有限公司,"YUNNAN HONGTA BANK CO.,LTD.",B0260H253040001,城市商业银行,云南红塔银行
139,西藏银行股份有限公司,"BANK OF TIBET CO.,LTD",B1293H254010001,城市商业银行,西藏银行
140,西安银行股份有限公司,"THE BANK OF XI’AN CO.,LTD",B0274H261010001,城市商业银行,西安银行
141,长安银行股份有限公司,"CHANG’AN BANK CO.,LTD",B1027H261010001,城市商业银行,长安银行
142,甘肃银行股份有限公司,"BANK OF GANSU CO.,LTD.",B1228H262010001,城市商业银行,甘肃银行
143,兰州银行股份有限公司,"BANK OF LANZHOU CO.,LTD.",B0268H262010001,城市商业银行,兰州银行
144,青海银行股份有限公司,"BANK OF QINGHAI CO.,LTD.",B0223H263010002,城市商业银行,青海银行
145,宁夏银行股份有限公司,"BANK OF NINGXIA CO.,LTD.",B0314H264010001,城市商业银行,宁夏银行
146,石嘴山银行股份有限公司,"Bank of Shizuishan Co.,Ltd.",B1009H364020001,城市商业银行,石嘴山银行
147,乌鲁木齐银行股份有限公司,"Bank of Urumqi CO.,Ltd",B0796H265010001,城市商业银行,乌鲁木齐银行
148,昆仑银行股份有限公司,"BANK OF KUNLUN CO., Ltd",B0226H265020001,城市商业银行,昆仑银行
149,哈密市商业银行股份有限公司,"Hami City Commercial Bank Co.,Ltd",B1085H265220001,城市商业银行,哈密市商业银行
150,库尔勒银行股份有限公司,"BANK OF KORLA CORP.,LTD",B1104H265280001,城市商业银行,库尔勒银行
151,新疆汇和银行股份有限公司,"XINJIANG HUIHE BANK CO.,LTD.",B1043H265400001,城市商业银行,新疆汇和银行
152,大连银行股份有限公司,"BANK OF DALIAN CO.,LTD.",B0261H221020001,城市商业银行,大连银行
153,宁波银行股份有限公司,"BANK OF NINGBO CO.,LTD",B0152H233020001,城市商业银行,宁波银行
154,宁波东海银行股份有限公司,"NINGBO DONGHAI BANK CO.,LTD.",B0358H233020001,城市商业银行,宁波东海银行
155,宁波通商银行股份有限公司,NINGBO COMMERCE BANK COMPANY LIMITED,B1311H233020001,城市商业银行,宁波通商银行
156,厦门银行股份有限公司,"XIAMEN BANK CO.,LTD",B0164H235020001,城市商业银行,厦门银行
157,厦门国际银行股份有限公司,"Xiamen International Bank Co.,Ltd.",B0025H235020001,城市商业银行,厦门国际银行
158,青岛银行股份有限公司,"BANK OF QINGDAO CO.,LTD.",B0170H237020001,城市商业银行,青岛银行
159,新疆银行股份有限公司,"Xinjiang Bank CO., LTD.",B1522H265010001,城市商业银行,新疆银行
160,中德住房储蓄银行有限责任公司,"Sino-German Bausparkasse Co.,Ltd.",B0240H212000001,住房储蓄银行,中德住房储蓄银行
161,天津金城银行股份有限公司,"Kincheng Bank of Tianjin Co., Ltd.",B0655H212000001,民营银行,天津金城银行
162,上海华瑞银行股份有限公司,"SHANGHAI HUARUI BANK Co.,Ltd.",B0606H231000001,民营银行,上海华瑞银行
163,浙江网商银行股份有限公司,"Zhejiang E-commerce Bank Co., Ltd.",B0675H233010001,民营银行,浙江网商银行
164,温州民商银行股份有限公司,"Wenzhou Minshang Bank Co.,Ltd",B0651H233030001,民营银行,温州民商银行
165,深圳前海微众银行股份有限公司,"WeBank Co.,Ltd",B0593H244030001,民营银行,深圳前海微众银行
166,湖南三湘银行股份有限公司,BANK OF SANXIANG,B1519H243010001,民营银行,湖南三湘银行
167,重庆富民银行股份有限公司,"Chongqing Fumin Bank Co.,Ltd.",B1191H250000001,民营银行,重庆富民银行
168,四川新网银行股份有限公司,"SICHUAN XW BANK CORP.,LTD.",B1544H251010001,民营银行,四川新网银行
169,北京中关村银行股份有限公司,Beijing Zhongguancun Bank CorporationLimited,B1611H211000001,民营银行,北京中关村银行
170,吉林亿联银行股份有限公司,"JILIN YILLION BANK CO.,LTD.",B1600H222010001,民营银行,吉林亿联银行
171,武汉众邦银行股份有限公司,"WUHANZBANK Co.,Ltd.",B1596H242900001,民营银行,武汉众邦银行
172,福建华通银行股份有限公司,Fujian OneBank Company Limited,B1563H235010001,民营银行,福建华通银行
173,威海蓝海银行股份有限公司,"WEIHAI BLUE OCEAN BANK CO.,LTD.",B1606H237100001,民营银行,威海蓝海银行
174,江苏苏宁银行股份有限公司,"JIANGSU SUNING BANK CO.,LTD.",B1621H232010001,民营银行,江苏苏宁银行
175,梅州客商银行股份有限公司,"MEIZHOU HAKKA BANK CO., LTD.",B1627H244140001,民营银行,梅州客商银行
176,安徽新安银行股份有限公司,"Anhui xin’an bank Co.,Ltd.",B1686H234010001,民营银行,安徽新安银行
177,辽宁振兴银行股份有限公司,"NewUp Bank of Liaoning Co.,Ltd",B1661H221010001,民营银行,辽宁振兴银行
178,北京农村商业银行股份有限公司,"BEIJING RURAL COMMERCIAL BANK CO.,LTD.",B0227H211000001,农村商业银行,北京农村商业银行
